ID,Marca temporal,Autorizo,SEXO,GÉNERO,TERRITORIO O ZONA RESIDENCIA,MACROZONA,AÑO DE NACIMIENTO,ACTIVIDAD PRINCIPAL,TIPO DE INSTITUCIÓN DE DESEMPEÑO PRINCIPAL,ÁREA DE DESEMPEÑO I (OPCIONAL),ÁREA DE DESEMPEÑO II (OPCIONAL),P1 TRANSCRIPCIÓN: ¿Por qué cree ud. que Chile necesita una política de igualdad de género en CTCI?,P1 TOTAL_Sí cree que Chile necesita una política de género,P1 TOTAL_No cree que Chile necesita una política de género,P1 TOTAL_No sabe si Chile necesita una política de género,"P1 Sí, Otros",P1 Desarrollo,P1 Es un aporte a la generación de conocimiento,P1 Hombres y mujeres deben tener mismas oportunidades,P1 Falta inserción femenina,P1 Porque existe desigualdad de género,P1 Se necesita diversidad de género,P1 Para eliminar las brechas de género,P1 Generará mayor equidad,P1 Iría en beneficio de la sociedad,"P1 No, Otros",P1 Diferencia en accesos a estudios superiores,P1 No se necesita una política de igualdad de género,P1 Es ofensivo para las mujeres,P1 No sé,"P2 TRANSCRIPCIÓN: ¿Qué medidas cree usted que garantizan el acceso, el desarrollo y el liderazgo de mujeres en el sistema CTCI?",P2 Oportunidades para niñas y jóvenes,P2 Apoyo en roles femineizados,P2 Paridad / igualdad,P2 Potenciar desde la educación,P2 Derribar estereotipos,P2 Incorporar una perspectiva de género a más ámbitos,P2 Promover participación de mujeres en ciencias/investigación,P2 Cupos / cuotas de género / acciones afirmativas,P2 Transformar la cultura alrededor del género,P2 Proteger el ambiente laboral,P2 Evaluación ciega y transparente,"P3 TRANSCRIPCIÓN: Respecto al Eje 2, ¿de qué manera se podría incorporar la perspectiva de género en su disciplina o área de desempeño?",P3 Estudiar temas de género,P3 Potenciar desde la educación,P3 Promover participación de mujeres en ciencias e Investigación,P3 Paridad / igualdad,P3 Incorporar una perspectiva de género,P3 Reconocer y disminuir la brecha de género,P3 Fomentar la participación femenina a través de la formulación y evaluación de proyectos,P3 Reconocer la historia de la temática de género en la ciencia,P3 La investigación no debe estar ligada al género,P3 No aplica en mi disciplina,"P4 TRANSCRIPCIÓN: Teniendo en cuenta el Eje 3, ¿qué acciones debería adoptar su institución  y otras instituciones del sistema de CTCI  para garantizar una  política de igualdad de género efectiva?",P4 Apoyo en roles femineizados,P4 Paridad / igualdad,P4 Promover liderazgos femeninos,P4 Potenciar desde la educación,P4 Estudiar temas de género,P4 Cupos / cuotas de género,P4 Combatir la discriminación y violencia de género,P4 Promover participación de mujeres en ciencias/Investigación,P4 La investigación no debe estar ligada al género,P4 Evaluación ciega y transparente
12,12/17/2020 11:08:20,"Sí, autorizo.",Mujer,Femenino,Metropolitana,RM,1997,"Estudiante de posgrado  (doctorado, magíster o equivalente conducente a grado académico)",Universidad,Ciencias Sociales,Psicología Social,"Para lograr una verdadera democracia, donde todes tengamos posibilidades de desarrollo y de aportar al conocimiento",TRUE,-,-,-,TRUE,TRUE,TRUE,-,-,-,-,-,-,-,-,-,-,-,Educacion no sexista  iniciativas que entregan cupos especiales a mujeres en carreras del area  apoyar y patrocinar mas proyectos liderados por mujeres y con equipos compuestos por mujeres  fortalecer sus redes de contacto y apoyo,-,-,-,TRUE,-,-,TRUE,-,-,-,-,Aplicando el enfoque y enseñandolo en las mallas de los liceos  colegios  IP  CFT y universidades  Incluyendo mujeres feministas en los proyectos y permitiendoles hacer cambios en los mismos  Exigiendo que se considere tanto en el marco teorico como en los resultados un analisis que de cuenta de diferencias de genero ,-,TRUE,-,-,-,-,TRUE,-,-,-,Incluir a las mujeres en su creacion y permitir que sean mujeres quienes lo lideren  Garantizar espacios seguros para que las mujeres puedan desenvolverse profesionalmente  Dar notoriedad a aquellos logros o descubrimientos que hacen las profesionales y apoyar sus proyectos  Escucharlas ,-,-,TRUE,-,-,-,-,TRUE,-,-
13,12/17/2020 11:10:30,"Sí, autorizo.",Hombre,Masculino,Metropolitana,RM,1975,"Investigación y desarrollo (I+D), Docencia Universitaria",Universidad,Ciencias Sociales,Educación Matemática,"los desafíos socio-cientificos de de enorme complkejidad, y las capacidades y visiones de hombre y mujeres son necesarias para afrontarlos.",TRUE,-,-,-,-,-,-,-,-,TRUE,-,-,-,-,-,-,-,-,atraccion de mujeres a areas clave del desarrollo socio cientifico  asi como liderazgo de mujeres en todos los niveles y puestos de toma de decisiones ,-,-,-,-,-,-,TRUE,-,-,-,-,En educacion  especialmente en basica  parvulos y educacion especial  la profesion esta feminizada  Asi  debe haber atraccion de hombres a dicha carreras  En investigacion  los lideres de centros de investigacion son hombres  lo cual debe cambiar ,-,TRUE,-,-,-,-,-,-,-,-,tener cuotas en los distintos niveles decisionales  asi como asegurar que los organos colegiados sean paritarios ,-,-,-,TRUE,-,TRUE,-,-,-,-
14,12/17/2020 11:18:12,"Sí, autorizo.",Hombre,Masculino,Metropolitana,RM,1986,Corretaje de Seguros,Empresa sin base científica-tecnológica,Ciencias Naturales y Exactas,,Necesita?,-,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,TRUE,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-
15,12/17/2020 11:19:41,"Sí, autorizo.",Mujer,Femenino,V de Valparaíso,Centro,1976,"Investigación y desarrollo (I+D), Emprendimiento de base científico-tecnológico",Universidad,Ingeniería y Tecnología,,"Observación:  mayor dificultad de acceso, reconocimiento y crecimiento de carrera para las mujeres, sin justificación",TRUE,-,-,-,-,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,"Por una parte el hecho de hacer visible a ojos de todos el problema  mostrando datos  efectos  consecuencias y diversas acciones de sensibilizacion  Mi percepcion es que algunos ven esto como  moda  y no estan convencidos del fondo del hecho  

Esto va de la mano con un trabajo profundo  desde el colegio y niveles como kinder y prekinder   sobre las representaciones de genero en la sociedad  y valoracion de los roles variados  Por ejemplo  la crianza de niñes  es  importante  y le corresponde  de igual manera  a los papas  Entonces que no sea tema solo de las mujeres que los horarios de trabajo  por ejemplo  sean afines a las  mamas   sino que a los padres en su conjunto 

Por otra parte  en forma sistematica se tiene que reconocer el tiempo asociado al nacimiento y crianza de hijes pequeños  Obviamente este punto en forma mas presente para las madres que los padres  pero debiera aparecer para ambos padres  Digo en forma sistematica para que no sea solo en las postulaciones FONDECYT por ejemplo  donde uno puede considerar un año mas si tuvo un hijo  pero en todos los sistemas de evaluacion en general  ",-,TRUE,TRUE,TRUE,-,-,-,-,-,-,-,"Creo que el primer punto es hacerlo visible  entonces con mayor precision  datos  ver los impactos y compartirlos con la comunidad 
Ademas de lo respondido en la pregunta anterior 

Por otra parte  trabajo con datos de salud  Debiera estar presente en forma mas sistematica los sesgos posibles que se insertan en los desarrollos de IA  u otros similares  segun la falta de heterogeneidad en los datos utilizados  El ejemplo tipico es como se ha trabajado en torno al infarto cardiaco  cuando la sintomatologia entre hombres y mujeres es diferente en una buena parte  
",-,-,-,TRUE,-,-,-,TRUE,-,-,"Implementar lo comentado anteriormente 
  sensibilizar en forma concreta
  tomar en cuenta la paternidad para todos  padres Y madres   y en forma sistematica en todos los ejes  evaluacion anual de desempeño y proyeccion  etc  
  para quienes trabajen con datos  verificar que haya una representacion equilibrada de generos
",TRUE,TRUE,-,-,-,-,-,-,-,-
16,12/17/2020 11:54:57,"Sí, autorizo.",Hombre,Masculino,II de Antofagasta,Norte,1974,Consultorías y asesorías agropecuarias,Independiente,Ciencias Agrícolas,Riego y Agricultura,Por que es importante para el buen funcionamiento del ministerio,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Se debe promover el acceso igualitario y sin discriminacion a las distintas alternativas de I+D+I,-,-,TRUE,-,-,-,TRUE,-,-,-,-,Se debe valorar la Capacidad de los profesionales sin distingo de Genero,-,-,-,-,-,-,-,-,-,-,Creo que no debe ser un tema el genero de un profesional  solo se debe valorar la calidades profesionales de estos ,-,-,-,-,-,-,-,-,-,-
17,12/17/2020 12:03:58,"Sí, autorizo.",Mujer,Femenino,VIII del Biobío,Centro Sur,1992,"Estudiante de posgrado  (doctorado, magíster o equivalente conducente a grado académico)",Universidad,Ciencias Naturales y Exactas,Ciencias Ambientales,Creo que Chile necesita una política de igualdad de género en CTCI porque existe una gran brecha de género tanto en la formación de capital humano avanzado como también en la inserción laboral en Universidad.,TRUE,-,-,-,-,-,-,TRUE,TRUE,-,TRUE,-,-,-,-,-,-,-,"Las medidas para garantizar el acceso  el desarrollo y liderazgo de mujeres en el sistema CTCI son 
1  Incentivar carreras a niñas y adolescentes a seguir una carrera del area I+D+i  
2  Sin embargo  esto debe ir acompañado de un plan fuerte de insercion laboral de mujeres cientificas en la academia que asegure y respete el desarrollo tanto profesional como personal de las mujeres  ",TRUE,-,TRUE,-,-,-,TRUE,-,-,-,-,La manera en que se podria incorporar la perspectiva de genero en mi disciplina o area de desempeño es que en los programas de doctorados fuera obligatorio un curso o charlas sobre igualdad de genero   Es muy importante que la perspectiva de genero sea inculcada desde la formacion inicial y debe ser reforzada durante todos los procesos de formacion y especializacion  ,-,-,-,TRUE,TRUE,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-
18,12/17/2020 12:10:52,"Sí, autorizo.",Mujer,Femenino,Metropolitana,RM,1974,"Emprendimiento de base científico-tecnológico, Consultoría profesional",Independiente,Ciencias Naturales y Exactas,Geologia,porque hay mucha discriminación encubierta y dificultades para que haya una real  igualdad de oportunidades,TRUE,-,-,-,-,-,TRUE,-,TRUE,-,-,-,-,-,-,-,-,-,consideracion a periodos pre y posnatal y cuidado de niños u otros enfermos discapacitados  que son tareas que generalmente cumplen las mujeres y no se consideran en los tiempos donde se puede investigar trabajar menos ,-,-,-,-,-,-,TRUE,-,-,-,TRUE,facilitar acceso a fondos  para terrenos y laboratorios  considerando que las dificultades propias de investigaciones en terreno son dobles para las mujeres,-,-,TRUE,TRUE,-,-,-,-,-,-,fomentar politicas de discriminacion positiva y cupos asegurados tanto en grupos de investigacion como administrativos dirigenciales  de manera que se aprecie el valor de grupos paritarios y diversos  creando politicas y culturas organizacionales  ,-,TRUE,-,-,-,TRUE,-,-,-,-
19,12/17/2020 12:33:41,"Sí, autorizo.",Mujer,Femenino,Metropolitana,RM,1983,"Investigación y desarrollo (I+D), Divulgación/comunicación científica",Universidad,Humanidades y Artes,Historia,"Porque existe una violencia estructural hacia las mujeres que se reproduce en todos los espacios del ejercicio del poder, como lo es en las prácticas y espacios de generación de ciencia, la tecnología el conocimiento y la innovación",TRUE,-,-,-,-,TRUE,-,-,TRUE,-,-,-,-,-,-,-,-,-,En esta sociedad  tal como esta estructurada y con un sistema CTCI basado en la competencia y la competitividad  fondos concursables   lo unico que garantiza un acceso  desarrollo y liderazgo igualitario de mujeres en entornos masculinos y masculinizantes son las CUOTAS RESERVADAS  PROTEGIDAS Y EXCLUSIVAS PARA MUJERES  Si se quiere igualdad en un 50% de  acceso  desarrollo y liderazgo femenino  entonces hay que reservar y proteger la existencia de un 50% de cupos  carreras de desarrollo y liderazgos para las mujeres   ,-,-,TRUE,-,-,-,TRUE,TRUE,-,-,-,Apoyado economicamente y de manera privilegiada y sostenida en el tiempo los estudios historiograficos de genero y mujeres  liderados por mujeres y con equipos mayoritariamente de mujeres en distintas etapas de sus carreras de investigacion  ,TRUE,-,TRUE,-,-,-,-,-,-,-,Un sistema de contratacion y promocion basado en cuotas que aseguren la contratacion y liderazgo de un 50% de personas de genero femenino  el fomento economico de investigaciones en tematicas de genero lideradas por mujeres y equipos mayoritariamente femeninos  un sistema de Acreditacion que contemple la presencia de estas dos medidas señaladas como prioritarios para conseguir años de acreditacion institucional y la no expiracion en años de la medicion de productividad investigativa de aquellas mujeres que son madres de menores de edad o que tienen personas a su cuidado  ,TRUE,TRUE,TRUE,-,TRUE,TRUE,-,TRUE,-,-
20,12/17/2020 12:35:02,"Sí, autorizo.",Hombre,Masculino,X de Los Lagos,Sur,1998,"Estudiante, educación universitaria pregrado",Universidad,Ciencias Naturales y Exactas,,Es obvio ,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,Eje 2,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-
21,12/17/2020 12:35:16,"Sí, autorizo.",Mujer,Femenino,Metropolitana,RM,1981,Investigación y desarrollo (I+D),Instituto Tecnológico Público,Ciencias Naturales y Exactas,Física,"Porque en la actualidad aún hay sesgos de hombres que consideran inferiores a las mujeres en ámbitos científicos y eso es perjudicial sobre todo cuando además son ellos mismos mayoritaria y comúnmente, por ejemplo, los que seleccionan para los trabajos o deciden quienes reciben los recursos ",TRUE,-,-,-,-,-,-,-,TRUE,-,-,-,-,-,-,-,-,-,"Aplicacion de acciones afirmativas que permitan emparejar la cancha sobre todo entre los tomadores de decisiones 
Repudiar y castigar efectivamente a quienes sean discriminadores  maltratadores  abusadores  etc   cosa que actualmente no pasa ",-,-,TRUE,-,-,-,-,-,-,-,-,Aplicacion de acciones afirmativas que permitan emparejar la cancha sobre todo entre los tomadores de decisiones ,-,-,-,-,-,-,-,-,-,-,Integrar personas que demuestren mayor conocimiento y aplicacion real de la necesidad de igualdad de genero en los altos cargos  de modo que no sean solo palabras sino realidades ,-,TRUE,TRUE,-,-,-,-,-,-,-
22,12/17/2020 12:36:50,"Sí, autorizo.",Mujer,Femenino,Metropolitana,RM,1988,"Estudiante de posgrado  (doctorado, magíster o equivalente conducente a grado académico)",Universidad,Ingeniería y Tecnología,,"No creo que s nv site una política de igualdad de género, las personas deben dedicarse a lo que prefieran o elijan, y se debe escoger entre candidatos disponibles las mejores opciones, no porque alguien sea hombre o mujer tiene más derecho que el otro ",-,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,TRUE,-,-,Deberia brindarse educacion cultural para generar interes por la ciencia y la tecnologia  programas educativos de ciencia  tecnologia y habilidades blandas  luego las personas decidiran si quieren tomar ese camino independiente de su sexo genero,-,-,-,TRUE,-,-,-,-,TRUE,-,-,El cambio debe ser cultural  educar para tener en cuenta al projimo  a todos los demas y sus necesidades  problemas y aspiraciones  innovar  diseñar  desarrollar tomando en cuenta a todas las personas ,-,TRUE,-,-,-,-,-,-,-,-,Para lograr igualdad se debe actuar con igualdad  igualdad de condiciones  igualdad de derechos  igualdad en criterios de evaluacion,-,-,-,-,-,-,-,-,-,-
23,12/17/2020 13:17:39,"Sí, autorizo.",Mujer,Femenino,Metropolitana,RM,1941,Orientadora familiar y terapeuta,Independiente,No responde,,Porque en todos los campos la mirada femenina es muy importante,TRUE,-,-,-,-,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,Con una politica que incentive desde los primeros años de educacion lo indispensable de la presencia femenina para enriquecer el desarrollo y la aplicacion de las ciencias ,-,-,-,TRUE,-,-,TRUE,-,-,-,-,Que al ser tan importante sea obligatorio para cada investigacion cientifica exprese y busque entre las personas que trabajen un determinado proyecto que haya en lo posible paridad de genero o al menos presencia importante femenina ,-,-,-,TRUE,-,-,-,-,-,-,Que cada proyecto tenga obligatoriamente un pilar en el cual se explique teoricamente el porque es necesario la presencia femenina alli y en la practica que se aplique a todas las personas que integrarian un proyecto o trabajo conjunto  una investigacion psicologica personas para detectar su aceptacion igualitaria de una politica de genero y su personal valorizacion de la presencia de personas de ambos sexos en el trabajo o investigacion a realizar ,-,TRUE,-,-,-,-,-,TRUE,-,-
